2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
2019-04-25 10:22:11 INFO  file1:84 - Add device: HidDevice [vendorId=0xb0e, productId=0x420, product=Jabra SPEAK 510 USB]
